,Index,Name,Recoil %,Ergonomics,Icon
48,,AGR-870 protection cap,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/AGR870Capicon.png/revision/latest/scale-to-width-down/64?cb=20190101215124
49,,NSPU-M scope eyecup,,+6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/NSPUMcupicon.png/revision/latest/scale-to-width-down/64?cb=20181112000142
50,,Vulcan MG scope eyecup,,+6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c0/Vulcan_Eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20180805174114
51,,Cobra Family Sights Shade,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a2/Cobracupicon.png/revision/latest/scale-to-width-down/64?cb=20180318183735
52,,PSO scope eyecup,,+5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/72/Psocupicon.png/revision/latest/scale-to-width-down/64?cb=20190709161431
53,,REAP-IR scope eyecup,,+6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1c/Reapcupicon.png/revision/latest/scale-to-width-down/64?cb=20180626224309
54,,SV-98 anti-heat ribbon,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/Heatribbonicon.png/revision/latest/scale-to-width-down/64?cb=20180318183739
55,,Heat shield for SV-98 silencer,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/71/SV-98_HS_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414153312
56,,Zev Tech sight mount cap,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ca/Glockplateicon.png/revision/latest/scale-to-width-down/64?cb=20180318183737
57,,USP-1 scope eyecup,,+5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2d/USP-1_eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185941
58,,1P59 scope eyecup,,+5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/75/1P59_Eyecup_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185504
59,,KAC short panel for URX 3/3.1,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/KAC_URX_Short_Icon.gif/revision/latest/scale-to-width-down/64?cb=20191213011153
60,,KAC long panel for URX 3/3.1,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/KAC_URX_Long_Icon.gif/revision/latest/scale-to-width-down/64?cb=20191213011142
61,,KAC stopper panel for URX 3/3.1,-1,+4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/81/KAC_URX_Stopper_Icon.gif/revision/latest/scale-to-width-down/64?cb=20200407175923
62,,Slide lock for M1911A1,,+1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/77/1911_catch_lever_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214800
63,,Hammer for M1911A1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7b/1911_hammer_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214802
64,,Trigger for M1911A1,,+1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d5/1911_trigger_icon.png/revision/latest/scale-to-width-down/64?cb=20200508214807
65,,Wilson Extended slide stop for M1911A1,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Wilson_Extended_slide_stop_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729100319
66,,Hammer for M1911A1 (alternative),,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0c/Hammer_for_M1911A1_%28alternative%29_icon.png/revision/latest/scale-to-width-down/64?cb=20200729103252
67,,STI HEX Hammer for M1911A1,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/56/STI_HEX_Hammer_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729101612
68,,Wilson Ultralight skeletonized hammer for M1911A1,,+4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e4/Wilson_Ultralight_skeletonized_hammer_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729104349
69,,Caspian Trik Trigger for M1911A1,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/Caspian_Trik_Trigger_for_M1911A1_icon.png/revision/latest/scale-to-width-down/64?cb=20200729105605
70,,Trigger for M45A1,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/34/M45A1_Trigger_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220225
71,,Hammer for M45A1,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b2/M45A1_Hammer_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220227
72,,Slide lock for M45A1,,+2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/M45A1_Slide_Lock_Icon.png/revision/latest/scale-to-width-down/64?cb=20201019220224
73,,Magwell STM-9,,+5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c6/STM-9_Magwell_Icon.png/revision/latest/scale-to-width-down/64?cb=20210330191236
