,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
829,,"10.6"" barrel for 416A5 and compatible 5.56x45",-1,-5,,-18,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/26/10.6Inch416BarrelIcon.png/revision/latest/scale-to-width-down/127?cb=20190419201406
830,,"10.5"" 9x19 barrel for MPX",-4,-9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/89/10.5BarrelMPXIcon.png/revision/latest/scale-to-width-down/190?cb=20190415134028
831,,"6.5"" 9x19 barrel for MPX",-1,-3,,-10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/6.5MPXBarrelIcon.png/revision/latest/scale-to-width-down/127?cb=20190411104417
832,,406mm barrel for MDR and compatible 5.56x45,-9,-6,,-5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/23/406mm_barrel_for_MDR_and_compatible_5.56x45_icon.png/revision/latest/scale-to-width-down/190?cb=20190411083638
833,,"22"" barrel for a SVDS 7.62x54",-7,-10,,-6.18,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1c/22_barrel_for_a_SVDS_7.62x54_icon.png/revision/latest/scale-to-width-down/253?cb=20190410230033
834,,"4.5"" 9x19 barrel for MPX",,-2,,-16,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c3/4.5MPXBarrelIcon.png/revision/latest/scale-to-width-down/64?cb=20190411105622
835,,"14"" 9x19 barrel for MPX",-7,-14,,+4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/36/14_MPX_Icon.png/revision/latest/scale-to-width-down/190?cb=20190414152542
836,,406mm Molot barrel for AR-15 and compatible 5.56x45,-4,-14,,-5.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3a/406mmMolotBarrelicon.png/revision/latest/scale-to-width-down/190?cb=20190106133002
837,,"20"" barrel for a Remington M700 7.62x51 NATO",-4,-11,,-4.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2a/20inM700Barrelicon.png/revision/latest/scale-to-width-down/190?cb=20190101222146
838,,"26"" barrel for a Remington M700 7.62x51 NATO",-9,-14,,-2.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/24/26inM700Barrelicon.png/revision/latest/scale-to-width-down/253?cb=20190101222628
839,,Sawn off 200mm Mosin barrel,,-2,,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/SawnOff200mmMosinBarrelicon.png/revision/latest/scale-to-width-down/127?cb=20190101215828
840,,Sawn off 220mm Mosin barrel,-1,-2,,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/SawnOff220mmMosinBarrelCustomicon.png/revision/latest/scale-to-width-down/127?cb=20190101220306
841,,Regular 514mm Mosin carbine barrel,-8,-8,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/ba/514mmMosinBarrelicon.png/revision/latest/scale-to-width-down/190?cb=20190101215458
842,,"15"" barrel for RPK-16 and compatible 5.45x39",-3,-2,,-8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/85/15_barrel_for_RPK-16_and_compatible_5.45x39_icon.png/revision/latest/scale-to-width-down/127?cb=20181230160626
843,,"22"" barrel for RPK-16 and compatible 5.45x39",-7,-11,,-5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/69/22_barrel_for_RPK-16_and_compatible_5.45x39_icon.png/revision/latest/scale-to-width-down/190?cb=20181231103053
844,,"11"" barrel for 416A5 and compatible 5.56x45",-2,-6,,-16,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/11inchhk416icon.png/revision/latest/scale-to-width-down/127?cb=20190106142134
845,,"14.5"" barrel for 416A5 and compatible 5.56x45",-3,-10,,-8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e3/14.5inchhk416barrelicon.png/revision/latest/scale-to-width-down/190?cb=20190106141635
846,,"16.5"" barrel for 416A5 and compatible 5.56x45",-10,-16,,-5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a8/16.5inchhk416barrelicon.png/revision/latest/scale-to-width-down/190?cb=20190106142202
847,,"20"" barrel for 416A5 and compatible 5.56x45",-12,-22,,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/20inchhk416barrelicon.png/revision/latest/scale-to-width-down/253?cb=20190106142236
848,,"11"" barrel for SA-58 7.62x51",-2,-5,+2,-12,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4d/SA58_11Inch_Icon.png/revision/latest/scale-to-width-down/127?cb=20180804193835
849,,"16"" barrel for SA-58 7.62x51",-6,-11,+5,-8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0b/16_Fal_Icon.png/revision/latest/scale-to-width-down/190?cb=20180923153201
850,,"21"" barrel for SA-58 7.62x51",-11,-20,+10,-3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b2/21in_Fal_Barrel_icon.png/revision/latest/scale-to-width-down/253?cb=20180923102034
851,,"22"" barrel for a M1A 7.62x51 NATO",-9,-17,,-6.18,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d2/22inchbarrelm1icon.png/revision/latest/scale-to-width-down/316?cb=20180513163742
852,,Regular 730mm Mosin barrel,-10,-13,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/730mm_Mosin_Icon.png/revision/latest/scale-to-width-down/253?cb=20180919103037
853,,"16"" barrel for a M1A 7.62x51 NATO",-5,-12,,-6.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a3/16inchbarrelm1icon.png/revision/latest/scale-to-width-down/253?cb=20180506164559
854,,"18"" barrel for a AR-10 and compatible 7.62x51 NATO",-5,-13,,-6.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e8/18inchrsassicon.png/revision/latest/scale-to-width-down/253?cb=20180326132750
855,,510mm barrel for MP-133 12ga,-3,-5,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c0/510mmmp133normal.png/revision/latest/scale-to-width-down/190?cb=20180804151511
856,,500mm .308 barrel for DVL-10,-4,-10,,-2.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9a/500mmdvl.png/revision/latest/scale-to-width-down/253?cb=20180326132756
857,,116mm 7.62x25 TT barrel,-3,-4,,-2.32,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/af/Ttstandard.png/revision/latest/scale-to-width-down/64?cb=20180326140216
858,,116mm 7.62x25 TT gilded barrel,-3,-4,,-2.32,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/116mmTTGold_Icon.png/revision/latest/scale-to-width-down/64?cb=20180727203034
859,,Homespun 121mm 7.62x25 TT barrel with threading,-3.25,-5,,-2.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9b/Ttthreaded.png/revision/latest/scale-to-width-down/64?cb=20180326140218
860,,Threaded barrel for P226 9x19,-3,-4,,-2.28,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c7/P226thread.png/revision/latest/scale-to-width-down/64?cb=20180326140215
861,,260mm barrel for AR-15 and compatible 5.56x45,-2,-7,,-16.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/22/260mmm4icon.png/revision/latest/scale-to-width-down/127?cb=20180326132754
862,,370mm barrel for AR-15 and compatible 5.56x45,-4,-11,,-6.48,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2d/370mmm4icon.png/revision/latest/scale-to-width-down/190?cb=20190817211747
863,,165 mm 9x19 barrel for MPX-SD,-2,-3,,-16.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3e/165mmmpxicon.png/revision/latest/scale-to-width-down/127?cb=20180326132752
864,,203 mm 9x19 barrel for MPX,-3,-6,,-12.31,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/45/203mmmpxicon.png/revision/latest/scale-to-width-down/127?cb=20180326132753
865,,510mm barrel for MP-133 12ga shotgun with rib,-3,-3,,+5.4,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f8/510mmmp133RIB.png/revision/latest/scale-to-width-down/190?cb=20180804151509
