,Index,Name,Recoil %,Ergonomics,Icon
931,,VPO-101 Gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/14/VPO-101GTIcon.png/revision/latest/scale-to-width-down/64?cb=20190411050306
932,,SVDS Gas tube,-2,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0e/SVDS_Gas_tube_icon.png/revision/latest/scale-to-width-down/64?cb=20190410231531
933,,HK 416A5 Regular Low Profile Gas Block,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/11/Hk416gasicon.png/revision/latest/scale-to-width-down/64?cb=20190106142320
934,,AK-74 Gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/94/Ak74.png/revision/latest/scale-to-width-down/64?cb=20180318180634
935,,AKM (6P1 Sb.1-2) gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/27/6p1sb.png/revision/latest/scale-to-width-down/64?cb=20180318180633
936,,Molot AKM type gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/67/Akmgas.png/revision/latest/scale-to-width-down/64?cb=20180318180635
937,,Kiba Arms VDM CS gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/58/Vdmcs.png/revision/latest/scale-to-width-down/64?cb=20180318180643
938,,UltiMAK M1-B gas tube for AK,-1,+8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/43/M1b.png/revision/latest/scale-to-width-down/64?cb=20180318180638
939,,Handguard with a gas block combo by TROY Industries for AK,-5,+10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/af/Troyhgicon.png/revision/latest/scale-to-width-down/127?cb=20180805230738
940,,PP-19-01 gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4a/Pp19gas.png/revision/latest/scale-to-width-down/64?cb=20180318180641
941,,AKS-74U Gas tube,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/77/Aksu.png/revision/latest/scale-to-width-down/64?cb=20180318180636
942,,MK12 Low Profile Gas Block,-2,+1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cc/Mk12.png/revision/latest/scale-to-width-down/64?cb=20190517221107
943,,Colt M4 Front sight,,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/df/M4frontsighticon.png/revision/latest/scale-to-width-down/64?cb=20180513141441
944,,Windham Weaponry Rail Gas Block,-2,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8f/Picblock.png/revision/latest/scale-to-width-down/64?cb=20180318180640
945,,JP Enterprises Gas System-6,-4,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/26/Jpgs6.png/revision/latest/scale-to-width-down/64?cb=20180318180637
946,,JP Enterprises Gas System-5b,-3,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c3/JPG_Icon.PNG/revision/latest/scale-to-width-down/64?cb=20191213005346
947,,VS-24 Handguard with a VS-33c gas block combo for AK,-4,+14,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2c/VS_Combo_Normal_Icon.gif/revision/latest/scale-to-width-down/127?cb=20191213093226
948,,KAC Low Profile Gas Block,-2,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/KAC_Low_Profile_Gas_Block_icon.png/revision/latest/scale-to-width-down/64?cb=20191229123250
949,,SIG MCX Gas Block,-2,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a6/MCX_Gas_Block_Icon.png/revision/latest/scale-to-width-down/64?cb=20201228212220
950,,Mk-18 Gas Block,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1a/Mk-18_Gas_Block_icon.png/revision/latest/scale-to-width-down/64?cb=20210127172328
