,Index,Name,Recoil %,Ergonomics,Icon
952,,Lancer OEM 14 inch M-LOK foregrip for MPX,-3,+12,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d4/Lancer_OEM_14_inch_M-LOK_foregrip_for_MPX_Icon.png/revision/latest/scale-to-width-down/127?cb=20190419201846
953,,"Troy Industries 13"" M-LOK foregrip for 416A5",,+14,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e2/Troy_Industries_13-_M-LOK_foregrip_for_416A5_Icon.png/revision/latest/scale-to-width-down/190?cb=20190419201615
954,,"Strike Industries CRUX 15"" M-LOK foregrip for 416A5",-3,+11,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ef/CruxHandguard15InchIcon.png/revision/latest/scale-to-width-down/190?cb=20190419201510
955,,Desert Tech foregrip for MDR,-1,+9,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/Desert_Tech_foregrip_for_MDR_icon.gif/revision/latest/scale-to-width-down/127?cb=20191229152638
956,,"HK MRS 14"" keymod foregrip for 416A5",-3,+6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9a/HK_Keymod_Icon.png/revision/latest/scale-to-width-down/190?cb=20190414150623
957,,Zenit B-10 AK Handguard,-1,+3,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ae/B10Icon.png/revision/latest/scale-to-width-down/64?cb=20190411110258
958,,"SAI 10"" QD Rail foregrip for AR15",-3,+10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8f/SAI10Icon.png/revision/latest/scale-to-width-down/127?cb=20190415134048
959,,Midwest 14 inch M-LOK foregrip for MPX,-4,+7,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/74/Midwest_14_inch_M-LOK_foregrip_for_MPX_icon.png/revision/latest/scale-to-width-down/127?cb=20200609095455
960,,Midwest 10.5 inch M-LOK foregrip for MPX,-2,+9,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/Midwest_10.5_inch_M-LOK_foregrip_for_MPX_icon.png/revision/latest/scale-to-width-down/127?cb=20190410032115
961,,Midwest 4.5 inch M-LOK foregrip for MPX,,+15,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/41/Midwest4.5Icon.png/revision/latest/scale-to-width-down/64?cb=20190411105701
962,,"Stngr Vypr 10"" M-LOK foregrip for AR15",-1,+8,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2c/Stngr_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414143944
963,,Daniel Defence RIS II 12.25 foregrip for AR-15-compatible systems,-2,+7,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/51/RIS_II_12.25_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414141610
964,,Magpul MOE SL carbine length M-LOK foregrip for AR15,,+10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/Magpul_MOE_SL_carabine_length_M-LOK_foregrip_for_AR15_icon.png/revision/latest/scale-to-width-down/127?cb=20190410031642
965,,Daniel Defence FDE RIS II FSP 9.5 foregrip for AR-15-compatible systems,-1,+7,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/55/RIS_II_FSP_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414141235
966,,Polymer SVDS handguard,,+6,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/30/Polymer_SVDS_foregrip_icon.png/revision/latest/scale-to-width-down/64?cb=20190410230658
