,Index,Name,Recoil %,Ergonomics,Accuracy,Sight,Magnification,Icon
298,,VPO-101 Standard Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c3/VPO-101SRSIcon.png/revision/latest/scale-to-width-down/64?cb=20190411050340
299,,SVDS frontsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6c/SVDS_frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20190410231216
300,,SVDS Rearsight,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bc/SVDS_Rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20190410230450
301,,Izhmash Rearsight base for RPK-16,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Izhmash_Rearsight_base_for_RPK-16_icon.png/revision/latest/scale-to-width-down/64?cb=20181230160214
302,,Izhmash Rearsight for RPK-16,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/93/Izhmash_Rearsight_for_RPK-16_icon.png/revision/latest/scale-to-width-down/64?cb=20181230160554
303,,Mosin carbine Rearsight,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/Mosin_carabine_Rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20181231102016
304,,Trijicon ACOG backup rear sight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/03/Trijicon_ACOG_backup_rear_sight_icon.png/revision/latest/scale-to-width-down/64?cb=20181229232842
305,,"Meprolight ""Tru Dot Night Sight"" Frontsight for P226",,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/MeprolightTruDotFronticon.png/revision/latest/scale-to-width-down/64?cb=20190104004832
306,,Meprolight Tru Dot Night Sight rear sight for P226,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/MeprolightTruDotRearicon.png/revision/latest/scale-to-width-down/64?cb=20190104005002
307,,KAC Folding sight Rear,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/de/KACFoldingMicrosightRearicon.png/revision/latest/scale-to-width-down/64?cb=20190104010238
308,,KAC Folding sight Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/41/KACFoldingMicrosightFronticon.png/revision/latest/scale-to-width-down/64?cb=20190104010531
309,,HK 416A5 Flip Up Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/31/Hk416flipuprearsighticon.png/revision/latest/scale-to-width-down/64?cb=20190106142029
310,,MP7 Flip Up Frontsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/MP7FrontIcon.png/revision/latest/scale-to-width-down/64?cb=20181111225602
