,Index,Name,Recoil %,Ergonomics,Icon
563,,Standard Spacer for Aimpont sight,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bd/AMSS_Icon.png/revision/latest/scale-to-width-down/64?cb=20190517220845
564,,SVDS Upper Band,,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/SVDS_Lower_Band_icon.png/revision/latest/scale-to-width-down/64?cb=20191210205601
565,,34mm one piece magmount made by I-E-A Mil Optics,,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/46/KH-F_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414142831
566,,Dovetail mount for TOZ-106,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a2/TOZ106DTIcon.png/revision/latest/scale-to-width-down/64?cb=20190411102446
567,,"B-13V rail platform above reciever ""Classic""",,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4f/B13VIcon.png/revision/latest/scale-to-width-down/64?cb=20190411110223
568,,TOZ-106 scope mount,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0c/TOZ106ScopeMntIcon.png/revision/latest/scale-to-width-down/64?cb=20190411102936
569,,Aimpoint LRP mount for COMP M4 sights.,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8c/LRP_Icon.png/revision/latest/scale-to-width-down/64?cb=20190517220744
570,,B-13 rail platform,,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/B13Icon.png/revision/latest/scale-to-width-down/64?cb=20190411110651
571,,Izhmash RPK-16 rail,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/39/Izhmash_RPK-16_guide_icon.png/revision/latest/scale-to-width-down/64?cb=20181230160518
572,,Stock adapter Tactica Tula 12003 for MP-133/153,,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5f/TacticaTula12003icon.png/revision/latest/scale-to-width-down/64?cb=20190105171308
573,,Weaver extended multi-slot base for Remington model 700,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/WeaverBaseR700icon.png/revision/latest/scale-to-width-down/127?cb=20190105171903
