,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
75,,Taktika Tula AK and AKM adapter,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/ff/Ttakm.png/revision/latest/scale-to-width-down/64?cb=20180828160747
76,,Direct Thread Mount adapter for Gemtech ONE.,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9e/ONE_Mount_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414145640
77,,ME Cylinder muzzle adapter 12 ga,,-1,,+0.25,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8e/Mecylindermuzzleadapter12gicon.png/revision/latest/scale-to-width-down/64?cb=20190106154142
78,,3 Lug threaded protector,,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/50/3LugThreadedProtectoricon.png/revision/latest/scale-to-width-down/64?cb=20190105181817
79,,SilencerCo choke adapter for 12ga shotguns,-1,,+1,+0.25,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7a/SilencerCo_choke_adapter_for_12ga_shotguns_Icon.png/revision/latest/scale-to-width-down/64?cb=20200607090613
80,,SilencerCo Salvo 12 thread adapter,-1,,+1,+0.25,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/79/SilencerCo_Salvo_12_thread_adapter_Icon.png/revision/latest/scale-to-width-down/64?cb=20180805230910
81,,Direct Thread Mount adapter for Silencerco Hybrid 46.,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/17/Hybridmount.png/revision/latest/scale-to-width-down/64?cb=20180325142252
82,,3 Lug thread protector,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5c/3lug.png/revision/latest/scale-to-width-down/64?cb=20180325142246
83,,P226 thread protection cap,,+1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/80/P226threadicon.png/revision/latest/scale-to-width-down/64?cb=20180608204639
84,,PP-91-01 Kedr-B muzzle thread piece,-10,,,+0.5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/58/Pp19thread.png/revision/latest/scale-to-width-down/64?cb=20180325142254
85,,SOK-12 Protection tube,,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a0/Saigathread.png/revision/latest/scale-to-width-down/64?cb=20180325142300
