,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
1130,,Molot VPO-101 dust cover,,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/18/VOP-101DCIcon.png/revision/latest/scale-to-width-down/127?cb=20190411050235
1131,,Izhmash SVDS dust cover,,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6b/Izhmash_SVDS_dust_cover_icon.png/revision/latest/scale-to-width-down/127?cb=20190410224918
1132,,Upper receiver ADAR 2-15 5.56x45 for 2-15 assault rifle,,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e8/Adaruppericon.png/revision/latest/scale-to-width-down/127?cb=20190106132937
1133,,Noveske Gen.3 5.56x45 Upper receiver for AR systems,-2,+13,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/Noveskeuppericon.png/revision/latest/scale-to-width-down/127?cb=20190106133508
1134,,P226 Sig Legion full size pistol slide,-1,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fc/Legion_slide_icon.png/revision/latest/scale-to-width-down/127?cb=20190104211305
1135,,P226 Sig Emperor scorpion pistol slide,-3,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/08/Scorpion_slide_icon.png/revision/latest/scale-to-width-down/127?cb=20190104211343
1136,,P226 Sig Stainless elite pistol slide,-1,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/Stainless_elite_slide_icon.png/revision/latest/scale-to-width-down/127?cb=20190104211402
1137,,P226 Axelson tactical Mk.25 pistol slide,-4,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/Axelson_slide_icon.png/revision/latest/scale-to-width-down/127?cb=20190104211304
1138,,Izhmash regular dust cover for RPK-16,,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f2/Izhmash_regual_dust_cover_for_RPK-16_icon.png/revision/latest/scale-to-width-down/127?cb=20181230160611
1139,,Upper receiver HK 416A5 5.56x45 for 416A5,-1,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/26/Hk416uppericon.png/revision/latest/scale-to-width-down/127?cb=20190106142303
1140,,Regular dust cover for FAL,,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/01/FAL_Dustcover_icon.png/revision/latest/scale-to-width-down/127?cb=20180923092054
1141,,DS Arms Extreme Duty dust cover for SA58,,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2b/SA58_DUST_Icon.png/revision/latest/scale-to-width-down/127?cb=20180804170616
1142,,Glock 18C 9x19 slide,,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/14/Glock_18C_9x19_slide_Icon.png/revision/latest/scale-to-width-down/127?cb=20180803231305
1143,,Izhmash AK-74M dust cover (6P34 0-1),,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/55/6p340-1icon.png/revision/latest/scale-to-width-down/127?cb=20180506164531
1144,,Glock 9x19 Moto Cut slide,-1,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/06/Glockmotocuticon.png/revision/latest/scale-to-width-down/127?cb=20180602200957
1145,,Izhmash AK-74 dust cover (6P1 0-1),,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/6p1_0-1akn.png/revision/latest/scale-to-width-down/127?cb=20180326162527
1146,,Izhmash AKM dust cover (6P1 0-1),,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/68/6p1-01akm.png/revision/latest/scale-to-width-down/127?cb=20180326162528
1147,,Molot AKM type dust cover,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bd/Akmtype.png/revision/latest/scale-to-width-down/127?cb=20180326162531
1148,,AKS-74U Dust cover (6P26 Sb.7),,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e6/6p26sb.7.png/revision/latest/scale-to-width-down/127?cb=20180326162529
1149,,Izhmash AKS-74UB Dust cover,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1f/Aksubdc.png/revision/latest/scale-to-width-down/127?cb=20180326162531
1150,,Izhmash Vityaz receiver cover,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3b/Rec.cov._vityaz.png/revision/latest/scale-to-width-down/127?cb=20180326162548
1151,,Izhmash SOK-12 Sb.0-2 dust cover,,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4b/Sb.0-2.png/revision/latest/scale-to-width-down/127?cb=20180326162551
1152,,AS VAL Dust cover,,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6a/Valdust.png/revision/latest/scale-to-width-down/127?cb=20180326162552
1153,,VSS Vintorez dust cover,,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ef/Vssdust.png/revision/latest/scale-to-width-down/127?cb=20180326162553
1154,,Zenit B-33 dust cover for AK-74,-1.5,+7,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e4/B-33.png/revision/latest/scale-to-width-down/127?cb=20180831201510
1155,,Upper receiver Colt M4A1 5.56x45 for M4A1 assault rifle,-1,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/64/M4upper.png/revision/latest/scale-to-width-down/127?cb=20180326162539
1156,,Vltor MUR-1S 5.56x45 Upper receiver for AR systems,-4,+8,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/48/Murupper.png/revision/latest/scale-to-width-down/127?cb=20180326162543
1157,,HK MP5SD Upper receiver,,+5,,-33,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/87/Mp5sdupper.png/revision/latest/scale-to-width-down/127?cb=20200620111804
1158,,HK MP5 Upper receiver,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/63/Mp5upper.png/revision/latest/scale-to-width-down/127?cb=20180326162541
1159,,Upper receiver of the first generation SIG MPX,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9e/Mpx1gen..png/revision/latest/scale-to-width-down/127?cb=20180326162542
1160,,SIG Sauer P226R 9x19 pistol slide,,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fa/P226slide.png/revision/latest/scale-to-width-down/127?cb=20180326162546
1161,,Izhmash Vityaz-SN receiver cover,,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/Rec.cover._vityaz-sn.png/revision/latest/scale-to-width-down/127?cb=20180326162549
1162,,Glock Alpha Wolf Custom slide,-1,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fb/Glockawc.png/revision/latest/scale-to-width-down/127?cb=20180326162535
1163,,Polymer80 PS9 Glock slide,-2,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7f/Ps9.png/revision/latest/scale-to-width-down/127?cb=20180326162547
1164,,Zev Tech Hex Gen3 slide,-3,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2f/Gzthex.png/revision/latest/scale-to-width-down/127?cb=20180326162538
1165,,Glock 9x19 slide,,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6a/Glockslide.png/revision/latest/scale-to-width-down/127?cb=20180326162536
1166,,Glock Zev Tech Hex Spartan slide,-7,+10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b8/Gztspart.png/revision/latest/scale-to-width-down/127?cb=20180326162539
1167,,Glock 9x19 Viper Cut slide,-1,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6b/Glockvipercut.png/revision/latest/scale-to-width-down/127?cb=20180326162537
1168,,Glock Alpha Wolf slide,-1,+2,,,None
1169,,M9A3 9x19 pistol slide,,+1,,,None
1170,,FN EFFEN 90 Upper receiver for P90,,-1,,,None
1171,,FN Upper receiver for P90,,-5,,,None
1172,,FN Upper receiver for PS90,,-5,,,None
1173,,AKademia Bastion dust cover for AK,-1,+5,,,None
1174,,Fab Defence PDC dust cover for AK-74,-1,+4,,,None
1175,,TWS Dog leg rail dust cover for AK,,+7,,,None
1176,,HK MP5 Kurz Upper receiver,,+6,,,None
1177,,Five-seveN MK2 pistol slide,,+3,,,None
1178,,Lightweight upper 5.56x45 for TX15 rifle,-2,+6,,,None
1179,,Upper receiver KAC 7.62x51 for SR-25 rifle,,+5,,,None
1180,,Upper receiver B&T 9x19 for MP9-N SMG,,+5,,,None
1181,,Upper receiver B&T 9x19 for MP9 SMG,,+8,,,None
1182,,Custom SVDS dust cover,,+2,,,None
1183,,M1911A1 .45 ACP slide,,+3,,,None
1184,,PPSH-41 dust cover,-2,+3,,,None
