,Index,Name,Recoil %,Ergonomics,Accuracy,Sight,Magnification,Icon
273,,Aimpoint COMP M4 reflex sight,,-2,,0,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/74/Comp_M4_Icon.png/revision/latest/scale-to-width-down/64?cb=20190517220944
274,,Cobra EKP-8-02 reflex sight,,-3,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4d/Ekp-8-02icon.png/revision/latest/scale-to-width-down/64?cb=20181031185426
275,,Cobra EKP-8-18 reflex sight,,-2,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2e/Ekp-8-18icon.png/revision/latest/scale-to-width-down/64?cb=20180518183913
276,,Eotech 553 holographic sight,,-3,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/553icon.png/revision/latest/scale-to-width-down/64?cb=20190711222738
277,,Eotech EXPS3 holographic sight,,-2,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a5/EXPS3_Sight_icon.png/revision/latest/scale-to-width-down/64?cb=20190711222055
278,,Eotech HHS-1 sight,,-3,,600,3x/1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/80/Eotech_HHS-1_sight_icon.gif/revision/latest/scale-to-width-down/127?cb=20190101234851
279,,Eotech XPS3-0 holographic sight,,-2,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/69/Xps3-0icon.png/revision/latest/scale-to-width-down/64?cb=20190517221045
280,,Eotech XPS3-2 holographic sight,,-2,,400,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5a/Xps3-2icon.png/revision/latest/scale-to-width-down/64?cb=20190711222745
281,,Holosun HS401G5 reflex sight,,-4,,300,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/HS401G5_Icon.png/revision/latest/scale-to-width-down/64?cb=20180723082335
282,,OKP-7 reflex sight,,-4,,250,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1b/Okp-7icon.png/revision/latest/scale-to-width-down/64?cb=20190517213026
283,,OKP-7 reflex sight (Dovetail),,-4,,250,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a0/Okp-7doveicon.png/revision/latest/scale-to-width-down/64?cb=20190517221004
284,,"VOMZ Pilad P1X42 ""WEAVER"" reflex sight",,-3,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/92/P1x42icon.png/revision/latest/scale-to-width-down/64?cb=20190517213132
285,,Valday 1P87 holographic sight,,-4,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/Valday_1P87_holographic_sight_icon.png/revision/latest/scale-to-width-down/64?cb=20181231102636
286,,Vortex Razor AMG UH-1 holographic sight,,-4,,300,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d6/Uh-1icon.png/revision/latest/scale-to-width-down/64?cb=20190517215128
287,,Walther MRS reflex sight,,-3,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/Mrsicon.png/revision/latest/scale-to-width-down/64?cb=20190517220327
288,,FN Ring sight reflex sight,,-1,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/FN_Ring_Sight_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226183029
289,,Trijicon SRS-02 reflex sight,,-1,,200,1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/84/SRS-02_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226185420
