,Index,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,Icon
690,,SI Advanced receiver extension buffer tube,-4,+2,for Black+5 for Anodized Red,for Black+2 for Anodized Red,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/93/AnodisedIcon.gif/revision/latest/scale-to-width-down/127?cb=20190430183809
691,,SI Viper Mod.1 Stock,-30,+11,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1b/Viperstockicon.png/revision/latest/scale-to-width-down/127?cb=20190419202132
692,,PPSH-41 stock,-29,+28,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e9/PPSH_Stock_Icon.png/revision/latest/scale-to-width-down/127?cb=20200508214810
693,,Polymer stock for SVDS,-31,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b0/Polymer_stock_for_SVDS_icon.png/revision/latest/scale-to-width-down/127?cb=20190410231819
694,,"Regular VPO-101 ""Vepr Hunter"" stock",-39,+18,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7c/VPO-101SIcon.png/revision/latest/scale-to-width-down/253?cb=20190411050323
695,,HK E1 Stock for AR-15 and compatible,-33,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c6/HK_E1_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414142246
696,,"PMM ""ULSS"" foldable MCX/MPX stock",-33,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/03/PMM_ULSS_foldable_MCXMPX_stock_icon.png/revision/latest/scale-to-width-down/127?cb=20190411011159
697,,Maxim Defence CQB collapsing/telescoping MCX/MPX stock,-30,+15,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/MD_CQB_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414152029
698,,Custom cut mosin stock for TOZ-106,-42,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2b/TOZ_Mosin_Icon.png/revision/latest/scale-to-width-down/253?cb=20190414141816
699,,ADAR 2-15 wooden stock,-28,+13,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/31/Adarstockicon.png/revision/latest/scale-to-width-down/127?cb=20190106125024
700,,HK End Cap Stock for MP5,,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/Mp5capicon.png/revision/latest/scale-to-width-down/64?cb=20190106125042
701,,"Hogue ""Overmolded ghillie"" stock for Remington Model 700",-30,+14,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/24/Ghilliem700stockicon.png/revision/latest/scale-to-width-down/190?cb=20190106125141
702,,Fab Defence buffer tube for AGR-870,-2,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fb/Agr870stockicon.png/revision/latest/scale-to-width-down/127?cb=20190106125217
703,,Fab Defence GLR-16-S Stock,-29,+13,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c1/Glr16icon.png/revision/latest/scale-to-width-down/127?cb=20190106125309
704,,Mosin carbine stock,-27,+14,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/Mosincarabinestockicon.png/revision/latest/scale-to-width-down/190?cb=20190106125427
705,,Mosin rifle sniper carbine stock,-27,+11,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cb/MosinRifleCarabineStock_Icon.png/revision/latest/scale-to-width-down/190?cb=20181231115107
706,,Sawn off regular Mosin rifle stock,-4,+16,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/ba/Sawnoffregularstockicon.png/revision/latest/scale-to-width-down/127?cb=20190106125521
707,,Sawn off Mosin rifle sniper stock,-4,+16,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1b/Sawnoffsniperstockicon.png/revision/latest/scale-to-width-down/127?cb=20190106125549
708,,Infantry Mosin rifle stock,-29,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ac/Infantrymosinstockicon.png/revision/latest/scale-to-width-down/253?cb=20190106125607
709,,Izhmash AK-12 regular stock,-30,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/53/Ak12stockicon.png/revision/latest/scale-to-width-down/127?cb=20190106125627
710,,Izhmash RPK-16 buffer tube,-4,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/34/Izhmash_RPK-16_buffer_tube_icon.png/revision/latest/scale-to-width-down/127?cb=20181230160543
711,,ProMag Archangel OPFOR PRS Mosin rifle stock,-38,+40,+3,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4a/MosinArchangelcon.png/revision/latest/scale-to-width-down/253?cb=20181114221436
712,,ATI Monte Carlo Mosin rifle stock,-34,+22,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4a/MonteCarloStockIcon.png/revision/latest/scale-to-width-down/253?cb=20181114221912
713,,Recoil pad from Aim Sports for Mosin rifle,-5,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/MosinPadIcon.png/revision/latest/scale-to-width-down/64?cb=20181114221205
714,,"HK ""Enhanced Tube"" buffer tube",-3,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/49/Hkenhancedbuffertubeicon.png/revision/latest/scale-to-width-down/127?cb=20190106141602
715,,HK Slim Line Stock,-30,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/84/HKSlimLineStockIcon.png/revision/latest/scale-to-width-down/127?cb=20190106141724
716,,Regular stock for HK MP7A1,-17,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a3/A1StockIcon.png/revision/latest/scale-to-width-down/127?cb=20181111225451
717,,Regular stock for HK MP7A2,-17,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/05/MP7A2StockIcon.png/revision/latest/scale-to-width-down/127?cb=20181111225413
718,,Polymer stock DSA humpback for SA-58,-31,-4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/ff/FAL_Humpback_Icon.png/revision/latest/scale-to-width-down/127?cb=20180923092328
719,,DSA SPR stock for SA-58,-36,+7,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/57/FAL_SPR_Stock_Icon.png/revision/latest/scale-to-width-down/127?cb=20180923092530
720,,DSA Folding stock for SA-58,-31,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/df/FAL_Folding_SA58_Icon.png/revision/latest/scale-to-width-down/127?cb=20180923092249
721,,DSA BRS stock for SA-58,-37,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fa/FAL_BRS_Icon.png/revision/latest/scale-to-width-down/127?cb=20180923102502
722,,Magpul PRS 2 polymer stock for FAL,-34,+16,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/PRS2_FAL_Icon.png/revision/latest/scale-to-width-down/127?cb=20180923102105
723,,Buffer Tube adapter for SA-58,,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/22/SA58_Buffer_Icon.png/revision/latest/scale-to-width-down/64?cb=20180804170419
724,,Zhukov-S for AK,-40,+15,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8f/ZhukovS_Icon.png/revision/latest/scale-to-width-down/127?cb=20180801132653
725,,F93 Pro Stock,-30,+10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7c/F93_Icon.png/revision/latest/scale-to-width-down/127?cb=20180805173417
726,,EMOD Stock,-31,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/Emodstockicon.png/revision/latest/scale-to-width-down/127?cb=20180729194535
727,,Tapco buffer tube,-1,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/87/TAPCO_Tube_Icon.png/revision/latest/scale-to-width-down/127?cb=20180727180502
728,,ADAR buffer tube,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6e/ADARBufferTubeIcon.png/revision/latest/scale-to-width-down/127?cb=20191031142454
729,,M1A Archangel stock,-38,+32,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/95/Archangelstockicon.png/revision/latest/scale-to-width-down/190?cb=20180530001246
730,,M14 M14ALCS(MOD. 0) stock,-9,+18,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/09/M14alcsstockicon.png/revision/latest/scale-to-width-down/190?cb=20180522000301
731,,M14 M14ALCS(MOD. 0) stock (buttstock),-30,+17,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3e/M14alcsbuttstockicon.png/revision/latest/scale-to-width-down/127?cb=20180522003434
732,,LEO stock adapter for M870,-2,+10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c8/Leom870icon.png/revision/latest/scale-to-width-down/127?cb=20180513141439
733,,MC 20-01 stock,-38,+7,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7e/Tozfullsizestockicon.png/revision/latest/scale-to-width-down/253?cb=20180513141446
734,,Regular Mosin rifle stock,-29,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b7/Mosin_Stock_Icon.png/revision/latest/scale-to-width-down/253?cb=20180919103013
735,,LMT Sopmod stock,-29,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ad/LMTSopmodStockIcon.png/revision/latest/scale-to-width-down/127?cb=20180513141641
736,,Troy S.A.S.S. Chassis stock for M14,-10,+28,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/61/S.a.s.sm14icon.png/revision/latest/scale-to-width-down/190?cb=20180521033222
737,,AKM/AK-74 PT Lock,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/AKM_AK-74N_PT_Lock_icon.png/revision/latest/scale-to-width-down/64?cb=20180721211414
738,,AK74/AK100 PT Lock,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ab/Ptlockicon.png/revision/latest/scale-to-width-down/64?cb=20180728185006
739,,Polymer stock for AK-74M (6P34 Sb.15),-32,+5,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/68/6p45sb15icon.png/revision/latest/scale-to-width-down/127?cb=20180506164438
740,,Izhmash shoulder piece for AKMSN (6P4 Sb.1-19),-30,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4b/6p4nsb.1-19icon.png/revision/latest/scale-to-width-down/127?cb=20180506163815
741,,IzhMash metal stock for AKS-74 (6P21 Sb.5),-30,+10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/07/6p21sb.5.png/revision/latest/scale-to-width-down/127?cb=20180506163804
742,,M1A Socom 16 stock,-35,+20,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f4/Socom16stockicon.png/revision/latest/scale-to-width-down/190?cb=20180506170109
743,,Fab Defence GL Shock Stock,-29,+13,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0b/Glshockstockicon.png/revision/latest/scale-to-width-down/127?cb=20180530001414
744,,MOE Carbine stock,-30,+8,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/87/MOE_Stock_Icon.gif/revision/latest/scale-to-width-down/127?cb=20180805205028
745,,HK A2 Stock,-34,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/65/Hka2stockicon.png/revision/latest/scale-to-width-down/127?cb=20180326123509
746,,Magpul Rubber Butt-Pad for Carbine stock series,-3,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7d/M4buttpadicon.png/revision/latest/scale-to-width-down/64?cb=20190517104445
747,,TOZ stock for TOZ-106,-34,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2a/Tozstockicon.png/revision/latest/scale-to-width-down/253?cb=20180326123529
748,,HK A3 old stock model,-33,+7,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/19/Hka3stock.png/revision/latest/scale-to-width-down/127?cb=20190709183333
749,,Magpul PRS GEN2 FDE stock,-34,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c1/Prsgen2icon.png/revision/latest/scale-to-width-down/127?cb=20180326123518
750,,High Standard M4SS Stock,-27,+4,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/Standardm4ssstockicon.png/revision/latest/scale-to-width-down/127?cb=20200510213103
751,,ME adapter for AK,-2,-1,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f6/Me4icon.png/revision/latest/scale-to-width-down/64?cb=20190603205644
752,,Izhmash shoulder piece for AKMS (6P4 Sb.1-19),-30,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5a/Akmsstock.png/revision/latest/scale-to-width-down/127?cb=20180326123503
753,,UBR GEN2 stock,-33,+7,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7b/UBR_GEN2_Icon.gif/revision/latest/scale-to-width-down/127?cb=20180805213602
754,,AKS-74/AKS-74U PT Lock,,,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6e/PT74SIcon.png/revision/latest/scale-to-width-down/64?cb=20180728185017
755,,Izhmash SOK-12 AK type stock,-34,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e7/Saiga12stockicon.png/revision/latest/scale-to-width-down/127?cb=20180326123522
756,,MFT BUS Stock,-32,+2,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/10/Busstockicon.png/revision/latest/scale-to-width-down/127?cb=20180326123506
757,,"Zenit PT-3 ""Klassika"" stock",-38,+11,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4f/Pt3stockicon.png/revision/latest/scale-to-width-down/127?cb=20190517213245
758,,"Zenit PT-1 ""Klassika"" stock",-37,+9,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3d/Zenit_PT-1_Klassika_stock_icon.png/revision/latest/scale-to-width-down/127?cb=20180721205715
759,,Molot wooden VPO-136 stock,-33,+3,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7a/Vpo136sstockicon.png/revision/latest/scale-to-width-down/127?cb=20190517230328
760,,Izhmash metal stock for AKS-74U (6P26 Sb.5),-30,+10,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d2/Aksustockicon.png/revision/latest/scale-to-width-down/127?cb=20180326123504
761,,Wooden stock for Molot OP-SKS,-15,+6,,,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6c/Sksstocklightwood.png/revision/latest/scale-to-width-down/253?cb=20180326123527
