,Index,Name,Ergonomics,Icon
32,,Zenit Perst-3 tactical device,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/62/ZenitPerst3Icon.png/revision/latest/scale-to-width-down/64?cb=20190415134103
33,,Zenit 2IRS Klesch flashlight + laser designator,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/19/2irs.png/revision/latest/scale-to-width-down/64?cb=20180318172955
34,,Zenit 2P Klesch flashlight + laser designator,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/Klesch.png/revision/latest/scale-to-width-down/64?cb=20190517213322
35,,Zenit 2U Klesch tactical flashlight,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/5d/Kleh_Icon.png/revision/latest/scale-to-width-down/64?cb=20190517220353
36,,AN/PEQ-15 tactical device,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ce/Peq.png/revision/latest/scale-to-width-down/64?cb=20190517220610
37,,Glock Tactical GL21 flashlight with laser,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a5/Gl21.png/revision/latest/scale-to-width-down/64?cb=20180318172955
38,,Holosun LS321 Tactical device,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/Ls321.png/revision/latest/scale-to-width-down/64?cb=20190517220520
39,,LA-5 tactical device,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d8/LA-5_tactical_device_Icon.png/revision/latest/scale-to-width-down/64?cb=20190106120727
40,,LAS/TAC 2 tactical flashlight,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/88/LASTAC_2_Icon.png/revision/latest/scale-to-width-down/64?cb=20180721230408
41,,Surefire XC1 tactical flashlight,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/Xc1.png/revision/latest/scale-to-width-down/64?cb=20191102045006
42,,X400 tactical flashlight,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/06/X400.png/revision/latest/scale-to-width-down/64?cb=20190517221025
43,,NcSTAR Tactical blue laser LAM-Module,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a7/TBL_Icon.PNG/revision/latest/scale-to-width-down/64?cb=20191102044649
44,,AN/PEQ-2 tactical device,-2,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c7/ANPEQ2_Icon.png/revision/latest/scale-to-width-down/64?cb=20191214061727
45,,Steiner Dbal PL tactical flashlight,-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3b/Steiner_Dbal_PL_tactical_flashlight.PNG/revision/latest/scale-to-width-down/64?cb=20191127012832
46,,"DLP ""Tactical Precision"" LAM Module for TT Pistol",-1,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/12/DLP_Tactical_Precision_LAM_Module_icon.png/revision/latest/scale-to-width-down/64?cb=20181228213103
